id;Name;fencer_id;tournament_id;status;first_rank;final_rank;percentile;victories;victories_perc;ts;tr;score_index
605;GRUMMICH Petr;53;19;Eliminated;81;81;1,00;0;0,00;6;30;-24
606;HERDA Jan;58;19;Advanced;38;42;0,52;3;0,50;22;21;1
607;HOYER Martin;65;19;Advanced;25;35;0,43;4;0,57;29;19;10
608;CHOUN Karím;27;19;Advanced;41;32;0,40;3;0,50;25;26;-1
609;IVANČO Alexandr;69;19;Advanced;29;26;0,32;4;0,57;26;24;2
610;IVANČO Mikuláš;70;19;Advanced;45;45;0,56;3;0,50;23;26;-3
611;IVANČO Robin;71;19;Advanced;56;56;0,69;2;0,33;22;27;-5
612;JIRAN Jan;79;19;Advanced;57;57;0,70;2;0,33;20;25;-5
613;JURKA Jakub;80;19;Advanced;1;1;0,01;7;1,00;35;5;30
614;KAIL Daniel;85;19;Advanced;32;38;0,47;4;0,57;24;23;1
615;KAŠPAR Daniel;93;19;Advanced;58;58;0,72;2;0,33;20;27;-7
616;KLAUS Robert;95;19;Advanced;19;16;0,20;4;0,67;24;13;11
617;KLSÁK Adam;96;19;Advanced;64;64;0,79;2;0,29;21;28;-7
618;KNOP Tadeáš;98;19;Eliminated;66;66;0,81;2;0,29;22;32;-10
619;KOTALA Jan;102;19;Advanced;23;23;0,28;4;0,67;24;19;5
620;KROUŽECKÝ Tomáš;110;19;Advanced;42;43;0,53;3;0,50;24;25;-1
621;KUF Jan;116;19;Advanced;5;5;0,06;6;1,00;30;10;20
622;KUCHAŘ Matěj;115;19;Advanced;32;28;0,35;4;0,57;24;23;1
623;LÁNÍK Jan;130;19;Advanced;54;54;0,67;2;0,33;20;22;-2
624;LOKAJ Václav;125;19;Advanced;36;40;0,49;3;0,50;21;15;6
625;MATOUŠEK David;134;19;Advanced;28;25;0,31;4;0,57;31;28;3
626;MOTALÍK Libor;146;19;Advanced;20;21;0,26;4;0,67;28;21;7
627;NOVÁK Martin;154;19;Advanced;16;15;0,19;5;0,83;26;17;9
628;NOVOTNÝ Šimon;153;19;Advanced;59;59;0,73;2;0,33;17;25;-8
629;PAVLÍK Matyáš;162;19;Advanced;14;18;0,22;5;0,83;28;18;10
630;PITRA Pavel;164;19;Advanced;13;14;0,17;5;0,83;29;14;15
631;PROCHÁZKA Ondřej;170;19;Advanced;31;27;0,33;4;0,57;25;24;1
632;PRYL Dobromil;171;19;Advanced;60;60;0,74;2;0,33;19;28;-9
633;PUSTĚJOVSKÝ Vladimír;173;19;Advanced;21;22;0,27;4;0,67;26;19;7
634;RUBEŠ Martin;177;19;Advanced;4;3;0,04;7;1,00;34;14;20
635;ŘEZANKA Ota;179;19;DNF;999;999;1,00;0;0,00;0;0;0
636;SALZER Matěj;183;19;Advanced;12;13;0,16;5;0,83;27;11;16
637;SEDLÁK Petr;185;19;Eliminated;78;78;0,96;0;0,00;11;30;-19
638;SCHÖPPEL Karel;184;19;Eliminated;80;80;0,99;0;0,00;9;30;-21
639;SKROVNÝ Petr;189;19;Advanced;50;50;0,62;3;0,43;24;29;-5
640;SMRČEK Šimon;190;19;Advanced;34;39;0,48;4;0,57;28;29;-1
641;SOKOL Vratislav;195;19;Advanced;52;52;0,64;2;0,33;21;21;0
642;STEHLÍK Jan;198;19;Advanced;37;41;0,51;3;0,50;25;22;3
643;STEHLÍK Vojtěch;199;19;Advanced;63;63;0,78;2;0,29;23;30;-7
644;STIRBER Sebastián;202;19;Advanced;27;24;0,30;4;0,57;30;26;4
645;STRAKA Tomáš;204;19;Eliminated;65;65;0,80;2;0,29;20;29;-9
646;SVOBODA Bohumil Jiří;208;19;Advanced;24;34;0,42;4;0,67;25;22;3
647;SVOBODA Tomáš Kristián (st.);213;19;Advanced;48;48;0,59;3;0,50;20;26;-6
648;ŠILHÁN Jindřich;219;19;Advanced;60;60;0,74;2;0,33;19;28;-9
649;ŠPATENKA Martin;220;19;Eliminated;72;72;0,89;1;0,14;15;33;-18
650;TÁBORSKÝ Lukáš;230;19;Advanced;62;62;0,77;2;0,29;22;28;-6
651;TOMAN Jan;226;19;Advanced;2;9;0,11;7;1,00;35;12;23
652;TŮMA Marek;232;19;Advanced;51;51;0,63;3;0,43;23;29;-6
653;VALKOVIČ Martin;236;19;Advanced;44;44;0,54;3;0,50;21;23;-2
654;VÁVRA Miroslav;245;19;Eliminated;74;74;0,91;1;0,14;12;33;-21
655;VÁVRA Vojtěch;246;19;Advanced;53;53;0,65;2;0,33;21;23;-2
656;VÍTEK Daniel;247;19;Eliminated;76;76;0,94;0;0,00;13;30;-17
657;VLACH Šimon;240;19;Advanced;47;47;0,58;3;0,50;17;21;-4
658;WALLER Adam;250;19;Eliminated;71;71;0,88;1;0,14;18;33;-15
659;WALLER Jonáš;251;19;Advanced;8;11;0,14;6;1,00;28;14;14
660;JAVAKHISHVILI Georgii;75;19;Advanced;11;17;0,21;6;0,86;31;13;18
661;DUDUC Alex Vladimír;39;19;Advanced;7;6;0,07;6;1,00;29;12;17
662;STEIS Matúš;200;19;Advanced;17;20;0,25;5;0,71;27;23;4
663;STOLAR Samuel;203;19;Advanced;30;37;0,46;4;0,57;27;26;1
664;SZALAY Jan;216;19;Advanced;35;29;0,36;3;0,50;26;20;6
665;HEREY Anatoliy;59;19;Advanced;2;3;0,04;7;1,00;35;12;23
666;SÝKORA Adam Herbert;215;21;Eliminated;68;68;0,91;1;0,14;34;14;-20
667;ADDO DJAN Theodor Ezekiel;2;21;Eliminated;66;66;0,88;1;0,14;30;15;-15
668;ALMER Vojtěch;5;21;Eliminated;65;65;0,87;1;0,17;29;15;-14
669;ANDERLE Petr;6;21;Advanced;3;5;0,07;7;1,00;35;15;20
670;BALCAR Josef;8;21;Advanced;15;16;0,21;5;0,83;27;22;5
671;BEDNÁR Kryštof;10;21;Advanced;16;17;0,23;4;0,80;21;17;4
672;BOSÁK Štěpán;18;21;Advanced;47;47;0,63;3;0,43;22;27;-5
673;BRADÁČ Petr;19;21;Advanced;31;37;0,49;4;0,57;25;22;3
674;ČAPEK Martin;33;21;Advanced;5;6;0,08;5;1,00;25;7;18
675;CIMLER Čestmír;29;21;Eliminated;62;62;0,83;1;0,20;22;16;-6
676;COUFAL František;31;21;Advanced;4;2;0,03;7;1,00;34;15;19
677;ČUPR Michal;34;21;Advanced;10;8;0,11;5;0,83;28;14;14
678;D'AMICO Kristian;35;21;Advanced;2;3;0,04;7;1,00;35;9;26
679;DOLEJŠÍ Marek;37;21;Advanced;32;27;0,36;4;0,57;29;29;0
680;FIEDOR Michal;45;21;Advanced;37;29;0,39;3;0,50;25;21;4
681;FÖLDES Tomáš;48;21;Eliminated;63;63;0,84;1;0,17;29;23;-6
682;FRANK Kilián;47;21;Advanced;33;38;0,51;4;0,57;26;26;0
683;GAISLER Jakub;49;21;Advanced;48;48;0,64;3;0,43;21;26;-5
684;GIL Matyáš;52;21;Eliminated;70;70;0,93;0;0,00;35;20;-15
685;GRUMMICH Petr;53;21;Advanced;59;59;0,79;2;0,29;19;33;-14
686;HERDA Jan;58;21;Advanced;36;40;0,53;3;0,50;26;20;6
687;HLAVÁČ Jakub;61;21;Advanced;23;22;0,29;4;0,67;24;19;5
688;HÖBAUS Max;68;21;Eliminated;74;74;0,99;0;0,00;35;14;-21
689;HOYER Martin;65;21;Advanced;21;33;0,44;5;0,71;29;23;6
690;HRONEK Ondřej;67;21;Advanced;50;50;0,67;3;0,43;20;29;-9
691;CHOUN Karím;27;21;Advanced;40;31;0,41;3;0,50;21;22;-1
692;IVANČO Alexandr;69;21;Advanced;7;11;0,15;6;0,86;33;17;16
693;IVANČO Mikuláš;70;21;Advanced;49;49;0,65;3;0,43;20;25;-5
694;IVANČO Robin;71;21;Advanced;54;54;0,72;2;0,33;22;28;-6
695;JAMBOR Stanislav;72;21;Advanced;43;44;0,59;3;0,43;25;28;-3
696;JANŮ Gael;74;21;Advanced;34;28;0,37;4;0,57;25;25;0
697;JÍLEK Jaroslav;83;21;Advanced;52;52;0,69;2;0,40;14;20;-6
698;JIRAN Jan;79;21;Eliminated;72;72;0,96;0;0,00;35;17;-18
699;KAIL Daniel;85;21;Advanced;55;55;0,73;2;0,29;24;28;-4
700;KEDER Michal;94;21;Advanced;28;36;0,48;4;0,57;25;20;5
701;KLAUS Robert;95;21;Advanced;17;3;0,04;5;0,71;32;19;13
702;KNAP Ladislav;97;21;Advanced;56;56;0,75;2;0,29;23;28;-5
703;KOTALA Jan;102;21;Eliminated;64;64;0,85;1;0,17;26;17;-9
704;KOUŘIL Jan;103;21;Advanced;24;23;0,31;4;0,67;27;23;4
705;KRAJSA Tomáš;108;21;Advanced;45;45;0,60;3;0,43;25;30;-5
706;KROUŽECKÝ Tomáš;110;21;Advanced;61;61;0,81;1;0,20;17;22;-5
707;KUCHAŘ Matěj;115;21;Advanced;38;30;0,40;3;0,50;23;24;-1
708;KULT Pavel;117;21;Advanced;27;24;0,32;4;0,57;28;23;5
709;LÁNÍK Jan;130;21;Advanced;14;15;0,20;5;0,83;27;21;6
710;LOKAJ Václav;125;21;Advanced;18;18;0,24;5;0,71;30;18;12
711;LUŠTICKÝ Josef;129;21;Advanced;51;51;0,68;2;0,40;16;21;-5
712;MOTALÍK Libor;146;21;Advanced;26;35;0,47;4;0,57;29;24;5
713;NECHAY Pavel;152;21;Eliminated;67;67;0,89;1;0,14;34;16;-18
714;NOVÁK Martin;154;21;Advanced;21;21;0,28;5;0,71;29;23;6
715;OMELKA Antonín;157;21;Advanced;58;58;0,77;2;0,29;20;29;-9
716;PAVLÍK Matyáš;162;21;Advanced;9;7;0,09;6;0,86;34;19;15
717;PROCHÁZKA Ondřej;170;21;Advanced;8;12;0,16;6;0,86;32;16;16
718;PRYL Dobromil;171;21;Advanced;30;26;0,35;4;0,57;27;24;3
719;PUSTĚJOVSKÝ Vladimír;173;21;DNF;999;999;1,00;0;0,00;0;0;0
720;RUBEŠ Martin;177;21;Advanced;11;1;0,01;5;0,83;29;16;13
721;SADSKÝ Jaroslav;180;21;Advanced;60;60;0,80;2;0,29;16;32;-16
722;SALZER Matěj;183;21;Advanced;1;9;0,12;7;1,00;35;8;27
723;SKROVNÝ Petr;189;21;Advanced;19;19;0,25;5;0,71;31;20;11
724;SMÍTKA Jan;192;21;Advanced;57;57;0,76;2;0,29;22;31;-9
725;SMRČEK Šimon;190;21;Advanced;41;42;0,56;3;0,50;20;24;-4
726;SOKOL Vratislav;195;21;Advanced;29;25;0,33;4;0,57;28;24;4
727;STEIS Matúš;200;21;Advanced;42;43;0,57;3;0,43;23;22;1
728;STIRBER Sebastián;202;21;Advanced;12;13;0,17;5;0,83;28;21;7
729;SVOBODA Tomáš Kristián (st.);213;21;Eliminated;73;73;0,97;0;0,00;35;16;-19
730;ŠPATENKA Martin;220;21;Advanced;20;20;0,27;5;0,71;31;24;7
731;ŠTVERÁK Martin;222;21;Advanced;53;53;0,71;2;0,33;23;24;-1
732;TÁBORSKÝ Lukáš;230;21;Advanced;38;41;0,55;3;0,50;23;24;-1
733;TOMAN Jan;226;21;Advanced;6;10;0,13;6;0,86;34;14;20
734;TŮMA Marek;232;21;Eliminated;69;69;0,92;1;0,00;29;17;-12
735;VACHOVEC Matěj;234;21;Advanced;13;14;0,19;5;0,83;27;20;7
736;VALKOVIČ Martin;236;21;Advanced;45;45;0,60;3;0,43;25;30;-5
737;VASIC Filip;237;21;Eliminated;71;71;0,95;0;0,00;30;14;-16
738;VONDRA Matouš;243;21;Advanced;35;39;0,52;4;0,57;25;26;-1
739;WALLER Adam;250;21;Advanced;43;32;0,43;3;0,43;25;28;-3
740;WALLER Jonáš;251;21;Advanced;25;34;0,45;4;0,57;29;23;6
741;ZELENKA Jiří;253;21;Eliminated;75;75;1,00;0;0,00;35;13;-22
742;ADAM Ondřej;1;23;Advanced;76;76;0,78;2;0,25;22;35;-13
743;ADDO DJAN Theodor Ezekiel;2;23;Advanced;8;20;0,21;7;0,88;39;22;17
744;ALMER Vojtěch;5;23;Advanced;64;60;0,62;3;0,38;27;33;-6
745;ANDERLE Petr;6;23;Advanced;48;50;0,52;4;0,50;32;30;2
746;ARTAZOV Maxmilián;7;23;Advanced;75;75;0,77;2;0,25;26;35;-9
747;BALCAR Josef;8;23;Advanced;4;10;0,10;8;1,00;38;16;22
748;BAUER Jiří;9;23;Advanced;76;76;0,78;2;0,25;22;35;-13
749;BEDNÁR Kryštof;10;23;Advanced;45;30;0,31;4;0,50;32;27;5
750;BÉREŠ Daniel;23;23;Eliminated;90;90;0,93;1;0,13;16;38;-22
751;BOSÁK Štěpán;18;23;Advanced;14;5;0,05;6;0,75;37;19;18
752;BRADÁČ Petr;19;23;Advanced;28;26;0,27;5;0,71;28;21;7
753;CIMPA Miroslav;30;23;Advanced;61;68;0,70;3;0,38;31;34;-3
754;ČAPEK Martin;33;23;Advanced;1;17;0,18;8;1,00;40;8;32
755;ČUPR Michal;34;23;Advanced;2;2;0,02;8;1,00;40;9;31
756;D'AMICO Kristian;35;23;Advanced;9;4;0,04;7;0,88;35;18;17
757;DÁŇA Vojtěch;43;23;Advanced;29;27;0,28;5;0,71;31;26;5
758;DOLEJŠÍ Marek;37;23;Advanced;39;16;0,16;4;0,57;29;20;9
759;DOŠEK Jiří;38;23;Advanced;55;55;0,57;4;0,50;30;31;-1
760;DUDUC Alex Vladimír;39;23;Advanced;23;6;0,06;6;0,75;35;26;9
761;DURYCH Martin;42;23;Advanced;22;14;0,14;6;0,75;33;23;10
762;FIEDOR Michal;45;23;Advanced;16;12;0,12;6;0,75;35;21;14
763;FRANK Kilián;47;23;Advanced;24;25;0,26;6;0,75;33;24;9
764;GAISLER Jakub;49;23;Advanced;72;64;0,66;2;0,29;23;28;-5
765;GENZER Jiří;50;23;Advanced;73;73;0,75;2;0,29;22;30;-8
766;GRUMMICH Petr;53;23;Advanced;79;79;0,81;2;0,25;22;36;-14
767;HEREY Anatoliy;59;23;Advanced;3;9;0,09;8;1,00;40;10;30
768;HLAVÁČ Jakub;61;23;Advanced;43;47;0,48;4;0,57;26;23;3
769;HOYER Martin;65;23;Advanced;11;33;0,34;7;0,88;39;26;13
770;HRADEČNÝ Vojtěch;66;23;Eliminated;94;94;0,97;0;0,00;10;35;-25
771;CHOUN Karím;27;23;Advanced;46;48;0,49;4;0,50;32;29;3
772;IVANČO Alexandr;69;23;Advanced;21;36;0,37;6;0,75;37;27;10
773;IVANČO Mikuláš;70;23;Advanced;37;42;0,43;5;0,63;31;30;1
774;IVANČO Robin;71;23;Advanced;42;46;0,47;4;0,57;29;26;3
775;JAMBOR Stanislav;72;23;Advanced;34;40;0,41;5;0,63;33;31;2
776;JAVAKHISHVILI Georgii;75;23;Advanced;27;3;0,03;5;0,71;32;22;10
777;JÍLEK Jaroslav;83;23;Advanced;57;65;0,67;4;0,50;28;29;-1
778;JINDRA Jan;78;23;Advanced;70;63;0,65;3;0,38;27;37;-10
779;JIRAN Jan;79;23;Advanced;74;74;0,76;2;0,25;29;35;-6
780;KAIL Daniel;85;23;Eliminated;85;85;0,88;1;0,13;21;37;-16
781;KEDER Michal;94;23;Advanced;52;54;0,56;4;0,50;32;32;0
782;KNOP Tadeáš;98;23;Eliminated;89;89;0,92;1;0,13;18;38;-20
783;KOLBE Stanislav;99;23;Eliminated;87;87;0,90;1;0,13;20;39;-19
784;KONEČNÝ Antonín;100;23;Advanced;64;69;0,71;3;0,38;27;33;-6
785;KOUŘIL Jan;103;23;Advanced;41;45;0,46;4;0,57;27;22;5
786;KOVACKI Milos;104;23;Advanced;6;18;0,19;7;0,88;38;19;19
787;KRACMAN Tomáš;107;23;Eliminated;92;92;0,95;0;0,00;20;40;-20
788;KROUŽECKÝ Tomáš;110;23;Advanced;40;44;0,45;4;0,57;31;26;5
789;KUCHAŘ Matěj;115;23;Advanced;67;61;0,63;3;0,38;26;33;-7
790;KULT Pavel;117;23;Advanced;20;35;0,36;6;0,75;36;25;11
791;KURÁŇ Martin;119;23;Advanced;31;28;0,29;5;0,63;34;27;7
792;LÁNÍK Jan;130;23;Advanced;36;41;0,42;5;0,63;33;32;1
793;LIBICH Vladimír;124;23;Eliminated;82;82;0,85;1;0,14;12;32;-20
794;LUŠTICKÝ Josef;129;23;Eliminated;88;88;0,91;1;0,13;18;37;-19
795;MALÝ Vojtěch;133;23;Advanced;58;57;0,59;4;0,50;28;30;-2
796;MATOUŠEK David;134;23;Advanced;25;37;0,38;6;0,75;35;27;8
797;MAZANEC Matěj;135;23;Advanced;60;67;0,69;3;0,38;28;30;-2
798;MAZANEC Vojtěch;136;23;Eliminated;96;96;0,99;0;0,00;12;40;-28
799;MIČINEC Adam;145;23;Advanced;56;56;0,58;4;0,50;29;30;-1
800;MÜNZBERGER Vladimír;149;23;Advanced;79;79;0,81;2;0,25;22;36;-14
801;MUSIL Tomáš;148;23;Advanced;53;31;0,32;4;0,50;30;30;0
802;NÁROVEC Václav;155;23;Advanced;66;70;0,72;3;0,38;27;34;-7
803;NOVÁK Martin;154;23;Advanced;51;53;0,55;4;0,50;31;30;1
804;NOVOTNÝ Šimon;153;23;Advanced;50;52;0,54;4;0,50;32;31;1
805;OCHEC Prokop;156;23;Eliminated;91;91;0,94;1;0,13;14;36;-22
806;OMELKA Antonín;157;23;DNF;999;999;1,00;0;0,00;0;0;0
807;PATOČKA Marek;161;23;Eliminated;93;93;0,96;0;0,00;19;40;-21
808;PAVLÍK Matyáš;162;23;Advanced;7;19;0,20;7;0,88;39;21;18
809;PITRA Pavel;164;23;Advanced;12;34;0,35;6;0,86;33;18;15
810;PROCHÁZKA Ondřej;170;23;Advanced;19;24;0,25;6;0,75;34;22;12
811;PRYL Dobromil;171;23;Advanced;59;66;0,68;3;0,43;27;27;0
812;PUSTĚJOVSKÝ Vladimír;173;23;Advanced;32;39;0,40;5;0,63;30;25;5
813;RUBEŠ Martin;177;23;Advanced;13;1;0,01;6;0,75;38;20;18
814;RUSIN Illia;178;23;Advanced;63;59;0,61;3;0,38;28;32;-4
815;SADSKÝ Jaroslav;180;23;Eliminated;81;81;0,84;2;0,25;21;36;-15
816;SALZER Matěj;183;23;Advanced;5;11;0,11;7;1,00;35;13;22
817;SMRČEK Šimon;190;23;Advanced;69;62;0,64;3;0,38;24;31;-7
818;SMUTNÝ Richard;191;23;Advanced;62;58;0,60;3;0,38;30;33;-3
819;SOKOLOV Sevastyan;196;23;Advanced;47;49;0,51;4;0,50;30;27;3
820;STEHLÍK Jan;198;23;Advanced;33;7;0,07;5;0,63;29;24;5
821;STEIS Matúš;200;23;Advanced;38;43;0,44;5;0,63;30;29;1
822;STIRBER Sebastián;202;23;Advanced;10;21;0,22;7;0,88;39;24;15
823;STOLAR Samuel;203;23;Advanced;15;22;0,23;6;0,75;36;22;14
824;SVOBODA Bohumil Jiří;208;23;Advanced;17;23;0,24;6;0,75;37;24;13
825;SVOBODA Ivo;209;23;Advanced;71;72;0,74;3;0,38;23;34;-11
826;SVOBODA Jakub;211;23;Eliminated;97;97;1,00;0;0,00;9;39;-30
827;SVOBODA Tomáš Kristián (st.);213;23;Eliminated;83;83;0,86;1;0,13;24;35;-11
828;ŠILHÁN Jindřich;219;23;Advanced;67;71;0,73;3;0,38;26;33;-7
829;ŠPATENKA Martin;220;23;Advanced;25;15;0,15;6;0,75;35;27;8
830;ŠVANDA Pavel;224;23;Advanced;44;8;0,08;4;0,50;34;27;7
831;TÁBORSKÝ Lukáš;230;23;Advanced;49;51;0,53;4;0,50;29;27;2
832;TŮMA Marek;232;23;Eliminated;86;86;0,89;1;0,13;20;38;-18
833;VACHOVEC Matěj;234;23;Advanced;18;13;0,13;6;0,75;35;22;13
834;VALKOVIČ Martin;236;23;Advanced;78;78;0,80;2;0,25;23;37;-14
835;VÁVRA Miroslav;245;23;Eliminated;84;84;0,87;1;0,13;22;38;-16
836;VÁVRA Vojtěch;246;23;Advanced;30;38;0,39;5;0,63;34;24;10
837;WALLER Adam;250;23;Advanced;54;32;0,33;4;0,50;32;33;-1
838;WALLER Jonáš;251;23;Advanced;35;29;0,30;5;0,63;29;27;2
839;ZELENKA Jiří;253;23;Eliminated;95;95;0,98;0;0,00;8;34;-26
840;AIGERMANOVÁ Gabriela;259;1;Eliminated;26;26;0,87;2;0,40;16;23;-7
841;BIELESZOVÁ Veronika;263;1;Advanced;2;5;0,17;4;0,80;20;14;6
842;COUFALOVÁ Anna;270;1;Advanced;3;3;0,10;4;0,80;20;15;5
843;ČAPKOVÁ Barbora;271;1;Advanced;13;13;0,43;3;0,60;20;19;1
844;ČERVENKOVÁ Kateřina;274;1;Advanced;8;6;0,20;3;0,60;21;17;4
845;DE VINCENZO Francesca;275;1;Advanced;24;24;0,80;2;0,40;15;20;-5
846;DOŠKOVÁ Kateřina;279;1;Advanced;10;7;0,23;3;0,60;22;19;3
847;DOUBOVÁ Dominika;278;1;Advanced;5;10;0,33;3;0,60;23;18;5
848;HABRYCHOVÁ Eva;286;1;Eliminated;29;29;0,97;0;0,00;16;25;-9
849;HAVLÍNOVÁ Tereza;291;1;Advanced;14;18;0,60;3;0,60;20;20;0
850;CHALUPNÍKOVÁ Aranka;268;1;Advanced;21;22;0,73;2;0,40;18;20;-2
851;JANKOVÁ Karolína;297;1;Advanced;4;2;0,07;4;0,80;23;20;3
852;JASNÁ Adéla;299;1;Advanced;10;17;0,57;3;0,60;22;19;3
853;JASNÁ Tereza;300;1;Advanced;6;11;0,37;3;0,60;20;15;5
854;KŘESINOVÁ Zlata;316;1;Eliminated;30;30;1,00;0;0,00;10;25;-15
855;NEVOSADOVÁ Eliška;333;1;Advanced;22;23;0,77;2;0,40;18;21;-3
856;PĚCHOVOVÁ Michala;346;1;Advanced;7;1;0,03;3;0,60;22;18;4
857;POTOČKOVÁ Kateřina;342;1;Advanced;9;12;0,40;3;0,60;20;16;4
858;PROKŠÍKOVÁ Patricie;344;1;Advanced;23;16;0,53;2;0,40;18;22;-4
859;ROUBÍČKOVÁ Anna;351;1;Eliminated;27;27;0,90;1;0,20;18;24;-6
860;SALIGEROVÁ Kateřina;355;1;Advanced;1;9;0,30;5;1,00;25;8;17
861;SEHNALOVÁ Markéta;358;1;Advanced;20;21;0,70;2;0,40;19;21;-2
862;SMUTNÁ Tereza;362;1;Advanced;17;3;0,10;3;0,60;19;20;-1
863;POKORNÁ (ŠÁMALOVÁ) Anna;340;1;Advanced;15;14;0,47;3;0,60;20;21;-1
864;SVOBODA (ŠEDIVÁ) Michaela;364;1;Advanced;19;15;0,50;2;0,40;18;17;1
865;ŠPATENKOVÁ Anna;369;1;Advanced;12;8;0,27;3;0,60;21;19;2
866;TOTUŠKOVÁ Pavla;374;1;Eliminated;28;28;0,93;0;0,00;17;25;-8
867;KORYCH (VACÍNOVÁ) Gabriela;308;1;Advanced;24;24;0,80;2;0,40;15;20;-5
868;VINCENCOVÁ Ester;383;1;Advanced;18;20;0,67;2;0,40;21;15;6
869;VOLÁKOVÁ Hana;385;1;Advanced;15;19;0,63;3;0,60;20;21;-1
870;AIGERMANOVÁ Gabriela;259;2;Advanced;14;19;0,33;4;0,67;27;16;11
871;BALLESTER Scarly;260;2;Advanced;27;34;0,60;4;0,67;22;22;0
872;BERTLOVÁ Barbora;262;2;Advanced;39;40;0,70;2;0,33;20;27;-7
873;BIELESZOVÁ Veronika;263;2;Advanced;2;17;0,30;6;1,00;30;12;18
874;BOROVIČKOVÁ Hana;264;2;Advanced;41;41;0,72;2;0,29;18;29;-11
875;BURSOVÁ Regina;266;2;Advanced;23;16;0,28;4;0,67;24;20;4
876;COUFALOVÁ Anna;270;2;Advanced;19;11;0,19;4;0,67;26;19;7
877;ČERVENKOVÁ Kateřina;274;2;Advanced;8;14;0,25;6;0,86;34;20;14
878;DE VINCENZO Francesca;275;2;Advanced;38;24;0,42;2;0,33;18;22;-4
879;DIVIŠOVÁ Klára;276;2;Advanced;43;43;0,75;1;0,17;18;26;-8
880;DOUBOVÁ Dominika;278;2;Advanced;22;3;0,05;4;0,67;25;20;5
881;FRAŇKOVÁ Magdalena;281;2;Advanced;52;52;0,91;0;0,00;11;30;-19
882;FRDLÍKOVÁ Markéta;282;2;Advanced;44;44;0,77;1;0,17;20;29;-9
883;GROLLMISCH Felicitas;284;2;Advanced;16;15;0,26;4;0,67;25;15;10
884;HABRYCHOVÁ Eva;286;2;Advanced;26;31;0,54;4;0,67;23;20;3
885;HÁJEČKOVÁ Tereza;296;2;Advanced;57;57;1,00;0;0,00;4;30;-26
886;HANESZ Katarina;288;2;Advanced;32;37;0,65;3;0,50;21;19;2
887;HARTMANOVÁ Barbora;290;2;Advanced;33;32;0,56;3;0,50;20;19;1
888;HAVLÍNOVÁ Tereza;291;2;Advanced;10;10;0,18;5;0,83;28;15;13
889;CHALUPNÍKOVÁ Aranka;268;2;Advanced;18;28;0,49;4;0,67;27;19;8
890;JANKOVÁ Karolína;297;2;Advanced;2;5;0,09;6;1,00;30;12;18
891;JASKULLA Klara;298;2;Advanced;40;12;0,21;2;0,33;20;28;-8
892;JASNÁ Adéla;299;2;Advanced;11;25;0,44;5;0,83;26;18;8
893;JASNÁ Tereza;300;2;Advanced;21;8;0,14;4;0,67;26;20;6
894;JELÍNKOVÁ Martina;301;2;Advanced;51;51;0,89;1;0,14;15;33;-18
895;KOŘÍNKOVÁ Magdaléna;309;2;Advanced;13;27;0,47;5;0,71;29;22;7
896;KOŘÍNKOVÁ Miroslava;310;2;Advanced;50;50;0,88;1;0,17;10;28;-18
897;KRAUSE Rebekka;311;2;Advanced;12;26;0,46;5;0,71;33;24;9
898;KŘEČKOVÁ Kamila;317;2;Advanced;48;48;0,84;1;0,17;14;29;-15
899;KŘENKOVÁ Karolína;315;2;Advanced;31;36;0,63;3;0,50;23;21;2
900;LIPOVÁ Aneta;323;2;Advanced;49;49;0,86;1;0,17;12;29;-17
